1,1
1,4
1,18
1,71
1,80
1,81
1,82
1,83
2,1
2,18
2,55
2,84
2,85
2,86
2,87
2,93
3,41
3,82
3,88
3,89
3,90
3,91
3,92
3,93
4,1
4,4
4,41
4,91
4,94
4,95
4,96
4,97
4,98
4,99
5,21
5,51
5,100
5,101
5,102
5,103
6,4
6,18
6,86
6,88
6,94
6,104
6,105
7,18
7,49
7,72
7,87
7,106
8,4
8,18
8,74
8,82
8,83
8,107
8,108
9,21
9,29
9,109
9,110
9,111
9,112
10,62
10,82
10,87
10,113
10,114
11,18
11,19
11,50
11,84
11,112
11,115
11,116
12,2
12,18
12,20
12,36
12,48
12,51
12,91
12,93
12,110
12,117
12,118
12,119
12,121
12,122
12,123
12,124
13,6
13,19
13,20
13,94
13,105
13,117
13,118
13,125
14,4
14,20
14,26
14,29
14,98
14,109
14,118
14,126
14,127
14,128
14,129
15,4
15,20
15,26
15,29
15,98
15,109
15,118
15,122
15,126
15,127
15,128
15,129
16,2
16,20
16,26
16,29
16,36
16,83
16,93
16,94
16,95
16,98
16,118
16,130
16,131
17,18
17,19
17,20
17,49
17,71
17,87
17,89
17,94
17,111
17,132
17,133
17,134
18,17
18,19
18,20
18,70
18,89
18,94
18,105
18,111
18,118
18,135
19,19
19,20
19,102
19,118
19,136
19,137
19,138
19,139
19,140
20,18
20,19
20,20
20,28
20,55
20,87
20,105
20,132
20,141
21,5
21,19
21,89
21,94
21,105
21,107
21,118
21,142
21,143
22,2
22,14
22,144
22,145
22,146
23,2
23,4
23,45
23,147
23,148
24,2
24,17
24,148
24,149
25,2
25,4
25,5
25,6
25,17
25,148
25,150
26,27
26,148
26,150
26,151
27,4
27,17
27,147
27,151
27,152
28,2
28,10
28,24
28,93
28,152
28,153
28,154
28,155
28,156
29,2
29,5
29,24
29,93
29,148
29,152
29,153
29,154
29,155
29,156
30,2
30,6
30,148
30,150
30,157
30,158
31,2
31,6
31,13
31,150
31,159
32,2
32,6
32,150
32,159
33,2
33,6
33,150
33,154
33,159
34,20
34,87
34,100
34,117
34,160
35,94
35,95
35,97
35,112
35,131
35,161
36,17
36,20
36,48
36,117
36,162
37,17
37,20
37,71
37,94
37,163
38,32
38,64
38,87
38,95
38,97
38,163
39,23
39,29
39,109
39,110
39,164
39,165
40,109
40,112
40,128
40,163
40,166
40,167
41,84
41,105
41,109
41,112
41,168
42,19
42,81
42,163
42,169
42,170
43,1
43,6
43,21
43,54
43,117
43,171
44,18
44,20
44,49
44,87
44,141
45,22
45,174
45,175
45,176
46,70
46,175
46,176
47,18
47,20
47,49
47,87
47,108
47,141
48,18
48,19
48,87
48,177
48,178
49,18
49,19
49,32
49,163
49,179
49,180
50,1
50,181
51,1
51,181
52,19
52,70
52,91
52,114
52,182
53,18
53,19
53,41
53,82
53,182
54,18
54,19
54,73
54,82
54,108
54,182
55,77
55,82
55,90
55,117
55,182
56,70
56,82
56,107
56,182
57,19
57,41
57,70
57,183
58,77
58,82
58,90
58,117
58,183
59,19
59,41
59,82
59,183
59,185
59,186
60,18
60,49
60,85
60,86
60,90
60,183
60,184
61,1
61,6
61,21
61,53
61,115
61,187
62,1
62,7
62,20
62,21
62,188
63,1
63,7
63,21
63,53
63,189
64,1
64,21
64,22
64,190
64,191
64,192
65,1
65,21
65,27
65,54
65,196
65,197
66,1
66,7
66,21
66,22
66,51
66,187
66,195
67,1
67,21
67,53
67,193
67,194
68,2
68,23
68,50
68,198
68,199
69,2
69,36
69,199
69,200
70,24
71,201
72,202
73,27
73,152
73,154
73,199
73,203
74,2
74,50
74,199
74,200
75,27
75,155
75,199
75,203
75,204
76,2
76,153
76,154
76,199
76,205
76,206
77,5
77,207
77,208
78,5
78,208
79,208
80,208
81,5
81,46
81,208
81,209
83,5
83,208
84,5
84,199
84,208
85,2
85,5
85,14
85,210
86,2
86,5
86,211
86,212
87,2
87,5
87,11
87,212
88,2
88,5
88,152
88,212
89,2
89,5
89,153
89,212
90,205
90,213
91,213
91,214
92,22
92,26
92,27
92,213
93,27
93,50
93,213
94,10
95,10
95,215
96,216
96,217
96,218
96,219
97,93
97,220
97,221
97,222
98,93
98,216
98,219
98,222
99,18
99,40
99,43
99,93
99,216
100,2
100,93
100,221
101,1
101,91
101,222
101,224
102,2
102,36
102,200
102,232
103,225
104,226
105,227
106,228
108,230
109,216
110,231
